agbd,rh98,lat,lon,NDVI,EVI,NDMI,NBR,SAVI,B02_Blue,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2
151.11201,35.53,10.733167115990149,92.4469558886376,0.7897252,0.5146773,0.2657372,0.58896846,0.47508386,0.0302,0.0352,0.2996,0.1738,0.0775
177.05861,42.27,10.733582885083843,92.44726400747889,0.713348,0.4017417,0.15034279,0.4792191,0.37897184,0.0338,0.0393,0.2349,0.1735,0.0827
129.45334,22.31,10.73400077925276,92.44757296668561,0.83888084,0.6686661,0.32315168,0.6176533,0.57041323,0.0375,0.0334,0.3812,0.195,0.0901
134.33508,23.51,10.734417174335723,92.44788133337008,0.80258363,0.5152469,0.23513389,0.5420799,0.45323604,0.0367,0.0298,0.2721,0.1685,0.0808
107.555595,23.36,10.734831832734773,92.4481890142385,0.7827178,0.46283343,0.18296456,0.51956,0.42040056,0.0335,0.0303,0.2486,0.1717,0.0786
138.59505,22.87,10.735248668381104,92.44849755777607,0.83689994,0.59058815,0.2928964,0.6008065,0.5132419,0.0349,0.0282,0.3176,0.1737,0.0792
152.18321,27.25,10.735662766530998,92.44880502076623,0.8297043,0.53013,0.26602206,0.58591545,0.47412404,0.0313,0.0262,0.2815,0.1632,0.0735
146.74579,25.91,10.736076093533036,92.44911218142585,0.8484357,0.70798683,0.35507986,0.65066224,0.58953303,0.0403,0.0327,0.3988,0.1898,0.0844
292.1282,36.84,10.736496798320388,92.44942226308827,0.76229286,0.5569013,0.26809546,0.59187824,0.47546446,0.0466,0.0423,0.3136,0.181,0.0804
182.23412,28.08,10.736912897795785,92.44973052731154,0.84328145,0.61820817,0.27539635,0.5935437,0.5239016,0.0382,0.0277,0.3258,0.1851,0.0831
308.48413,39.72,10.737328130301357,92.45003845275147,0.82695967,0.6191115,0.31280452,0.61689866,0.5264763,0.0396,0.0319,0.3368,0.1763,0.0798
146.97702,33.28,10.737744933448038,92.45034700442034,0.72672313,0.49503726,0.18653926,0.5051384,0.43403947,0.0457,0.0452,0.2856,0.1958,0.0939
117.59757,25.19,10.738575731483762,92.45096301358895,0.8038082,0.6444943,0.33738384,0.6297909,0.54678106,0.0433,0.0407,0.3742,0.1854,0.085
109.98605,22.54,10.738991677452058,92.45127124403632,0.8097859,0.53279674,0.24067084,0.5768718,0.48029017,0.032,0.0311,0.2959,0.1811,0.0794
156.01189,26.92,10.739407356391641,92.45157937598283,0.7563739,0.51484764,0.26067507,0.56644773,0.46951932,0.0362,0.043,0.31,0.1818,0.0858
155.73492,28.08,10.740236307890488,92.45219471102826,0.8428491,0.5940003,0.33716163,0.64979756,0.5238932,0.0317,0.0278,0.326,0.1616,0.0692
